Designator,Mid X,Mid Y,Rotation,Layer
_2,81.648,-98.681999,0.0,top
,81.648,-98.681999,0.0,top
J1001,71.211194,-96.52,180.0,bottom
J1003,91.277194,-90.686,0.0,bottom
