Designator,Mid X,Mid Y,Rotation,Layer
J1,174.625,-137.55,180.0,bottom
J2,174.76,-120.65,0.0,top
R1,185.75,-131.7,270.0,bottom
R2,163.55,-131.725,270.0,bottom
