Designator,Mid X,Mid Y,Rotation,Layer
C1,166.11,-103.22,180.0,top
C2,184.2925,-103.13,0.0,top
J1,174.175,-105.214,0.0,top
J2,158.07,-100.49,90.0,top
R1,160.63,-103.18,180.0,top
R2,189.53,-103.13,0.0,top
