Designator,Footprint,Quantity,Value,LCSC Part #
"_2, ",,2,,
"J1001, J1002",PinSocket_1x12_P2.54mm_Vertical_NoSilk,2,Conn_01x01_Socket,
J1003,vik-module-connector-horizontal,1,~,C2919557
J1004,PinSocket_1x12_P2.54mm_Vertical_IndividualSilk,1,Conn_01x01_Socket,
"J1005, J1006, J1007, J1008, J1009, J1010, J1012, J1013, J1014, J1018, J1019, J1020",PinSocket_1x12_P2.54mm_Vertical_6x6_SplitSilk,12,Conn_01x01_Socket,
"J1011, J1015, J1016, J1017",PinSocket_1x12_P2.54mm_Vertical_FullSilk,4,Conn_01x01_Socket,
