Designator,Mid X,Mid Y,Rotation,Layer
C1,167.338,-89.56,90.0,bottom
C2,146.117194,-99.337271,270.0,bottom
C3,146.117194,-93.212271,90.0,bottom
C4,163.388,-87.22,180.0,bottom
C5,151.818,-88.61,0.0,bottom
C6,167.648,-92.15,180.0,bottom
C7,146.118,-102.7,90.0,bottom
C8,165.718,-88.54,90.0,bottom
C9,163.388,-89.23,180.0,bottom
J1,146.448,-90.91,0.0,top
J2,168.258,-107.11,0.0,top
J3,149.668,-101.77,0.0,top
J4,165.956,-99.65,270.0,bottom
J5,148.958,-92.35,0.0,top
J6,149.688,-98.43,0.0,top
J7,151.978,-87.09,0.0,top
J8,146.788,-107.05,0.0,top
R1,146.117194,-96.287271,90.0,bottom
U1,156.9405,-88.54,0.0,bottom
U2,151.438,-104.85,0.0,bottom
