Designator,Mid X,Mid Y,Rotation,Layer
C1,165.618,-86.57,90.0,bottom
C2,146.117194,-99.337271,270.0,bottom
C3,146.117194,-93.212271,90.0,bottom
C4,161.217194,-87.337271,180.0,bottom
C5,152.542194,-85.687271,270.0,bottom
C6,164.328,-97.69,90.0,bottom
C7,144.958,-86.98,270.0,bottom
C8,163.878,-86.585,90.0,bottom
C9,162.038,-84.98,90.0,bottom
J2,145.868,-115.36,180.0,top
J3,168.198,-92.23,0.0,top
J4,164.292194,-112.452271,270.0,bottom
R1,146.117194,-96.287271,90.0,bottom
R2,149.592194,-114.612271,90.0,bottom
R3,151.767194,-114.637271,90.0,bottom
U1,156.6605,-86.31,0.0,bottom
U2,151.438,-104.85,0.0,bottom
