Designator,Mid X,Mid Y,Rotation,Layer
C1,170.375,-108.605,90.0,bottom
J1,178.925,-105.214,180.0,bottom
J2,165.665,-100.425,270.0,bottom
R1,169.875,-105.025,90.0,bottom
